date,district_code,Record_Count
2013-12-29,440306,3
2013-12-29,440311,1
2013-12-29,440312,2
2013-12-30,440304,2
2013-12-30,440305,1
2013-12-30,440306,1
2013-12-30,440309,3
2013-12-30,440311,1
2013-12-31,440304,2
2013-12-31,440306,4
2013-12-31,440309,4
2014-01-01,440304,2
2014-01-01,440305,2
2014-01-01,440306,6
2014-01-01,440307,6
2014-01-01,440311,1
2014-01-02,440305,4
2014-01-02,440306,7
2014-01-02,440307,3
2014-01-03,440306,6
2014-01-03,440307,7
2014-01-04,440304,1
2014-01-04,440305,1
2014-01-04,440306,10
2014-01-04,440307,6
2014-01-05,440303,1
2014-01-05,440304,1
2014-01-05,440305,1
2014-01-05,440306,8
2014-01-05,440307,8
2014-01-06,440303,1
2014-01-06,440304,2
2014-01-06,440305,2
2014-01-06,440306,12
2014-01-06,440307,2
2014-01-06,440311,1
2014-01-07,440305,2
2014-01-07,440306,2
2014-01-07,440307,3
2014-01-08,440303,1
2014-01-08,440304,2
2014-01-08,440305,2
2014-01-08,440306,10
2014-01-08,441302,1
2014-01-09,440303,1
2014-01-09,440305,1
2014-01-09,440306,5
2014-01-10,430223,1
2014-01-10,440303,1
2014-01-10,440304,2
2014-01-10,440305,1
2014-01-10,440306,3
2014-01-10,440309,1
2014-01-11,440306,2
2014-01-11,440307,1
2014-01-12,440303,1
2014-01-12,440304,2
2014-01-12,440306,2
2014-01-13,440303,11
2014-01-13,440304,2
2014-01-13,440305,1
2014-01-13,440306,4
2014-01-13,440307,3
2014-01-13,440312,1
2014-01-14,440233,1
2014-01-14,440303,4
2014-01-14,440304,4
2014-01-14,440305,2
2014-01-14,440306,2
2014-01-14,440307,1
2014-01-15,440303,1
2014-01-15,440305,2
2014-01-15,440306,2
2014-01-15,440307,3
2014-01-16,440303,1
2014-01-16,440304,1
2014-01-16,440305,1
2014-01-16,440306,8
2014-01-16,440307,1
2014-01-17,440304,2
2014-01-17,440305,1
2014-01-17,440306,6
2014-01-17,440307,2
2014-01-17,440310,1
2014-01-18,440304,3
2014-01-18,440305,1
2014-01-18,440306,6
2014-01-18,440307,2
2014-01-19,440303,1
2014-01-19,440304,3
2014-01-19,440306,3
2014-01-19,440307,2
2014-01-19,440309,1
2014-01-20,440304,2
2014-01-20,440305,2
2014-01-20,440306,8
2014-01-20,440307,2
2014-01-20,440311,1
